City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,11.57,81,100,0.89,NZ,2023-07-16 02:32:01
1,vorgashor,67.5833,63.95,14.07,62,35,1.36,RU,2023-07-16 02:22:27
2,enewetak,11.3474,162.3373,28.08,80,60,7.63,MH,2023-07-16 02:32:02
3,roma,43.2128,-75.4557,26.08,73,0,3.09,US,2023-07-16 02:28:39
4,san luis,-33.295,-66.3356,6.14,62,0,5.24,AR,2023-07-16 02:32:03
5,lospalos,-8.5186,127.0025,25.21,68,78,5.42,TL,2023-07-16 02:20:25
6,bethel,41.3712,-73.414,25.98,83,100,2.62,US,2023-07-16 02:32:04
7,munkkiniemi,60.1991,24.8744,15.46,94,85,0.45,FI,2023-07-16 02:32:05
8,bredasdorp,-34.5322,20.0403,13.42,71,96,3.96,ZA,2023-07-16 02:20:08
9,udachny,66.4167,112.4,11.36,57,99,3.83,RU,2023-07-16 02:20:34
10,iqaluit,63.7506,-68.5145,10.85,87,40,1.54,CA,2023-07-16 02:22:05
11,kapuskasing,49.4169,-82.4331,18.05,94,100,2.06,CA,2023-07-16 02:19:03
12,port-aux-francais,-49.35,70.2167,1.68,56,96,14.31,TF,2023-07-16 02:32:06
13,choyr,46.3611,108.3611,24.65,21,66,3.76,MN,2023-07-16 02:32:06
14,sucre,-19.0333,-65.2627,12.62,28,6,1.39,BO,2023-07-16 02:32:07
15,nar'yan-mar,67.6713,53.087,18.62,64,11,2.0,RU,2023-07-16 02:22:11
16,moro,26.6646,68.0016,33.97,50,2,3.12,PK,2023-07-16 02:32:07
17,stanley,54.868,-1.6985,13.49,90,40,4.63,GB,2023-07-16 02:32:08
18,isafjordur,66.0755,-23.124,6.1,95,100,3.26,IS,2023-07-16 02:20:14
19,east london,-33.0153,27.9116,16.11,68,15,4.11,ZA,2023-07-16 02:32:08
20,irymple,-34.25,142.1667,13.38,62,0,0.45,AU,2023-07-16 02:32:09
21,motueka,-41.1333,173.0167,16.17,62,100,2.22,NZ,2023-07-16 02:32:09
22,sola,-13.8833,167.55,25.48,79,100,11.77,VU,2023-07-16 02:32:09
23,blackmans bay,-43.0167,147.3167,13.18,75,96,5.84,AU,2023-07-16 02:32:09
24,sao tome,0.3365,6.7273,24.17,84,11,2.76,ST,2023-07-16 02:32:10
25,shajiang,26.7825,119.9669,31.07,69,47,4.52,CN,2023-07-16 02:32:10
26,kralendijk,12.15,-68.2667,27.99,83,20,6.69,BQ,2023-07-16 02:32:10
27,grytviken,-54.2811,-36.5092,-5.4,72,6,2.48,GS,2023-07-16 02:32:11
28,bellefontaine,40.3612,-83.7597,21.74,98,20,0.0,US,2023-07-16 02:32:11
29,flekkefjord,58.2971,6.6607,16.64,95,47,3.08,NO,2023-07-16 02:32:12
30,tura,25.5198,90.2201,25.82,82,100,2.89,IN,2023-07-16 02:20:20
31,khon buri,14.5254,102.2459,29.18,95,100,6.77,TH,2023-07-16 02:32:12
32,papatowai,-46.5619,169.4708,8.91,74,28,8.12,NZ,2023-07-16 02:32:12
33,malango,-2.9627,119.9001,26.68,56,68,1.6,ID,2023-07-16 02:32:14
34,marksville,31.128,-92.0662,29.03,61,15,4.33,US,2023-07-16 02:32:14
35,port mathurin,-19.6833,63.4167,23.65,76,9,7.86,MU,2023-07-16 02:32:14
36,ushuaia,-54.8,-68.3,-1.19,86,20,3.09,AR,2023-07-16 02:31:23
37,chonchi,-42.6128,-73.8092,2.29,93,40,1.33,CL,2023-07-16 02:32:15
38,anadyr,64.75,177.4833,20.28,55,0,7.0,RU,2023-07-16 02:22:23
39,monjaras,13.2006,-87.3742,29.19,57,100,2.33,HN,2023-07-16 02:32:15
40,yellowknife,62.456,-114.3525,20.31,45,75,4.02,CA,2023-07-16 02:32:16
41,tiksi,71.6872,128.8694,3.43,96,100,4.01,RU,2023-07-16 02:22:17
42,guarapari,-20.6667,-40.4975,19.38,76,68,2.34,BR,2023-07-16 02:32:16
43,loukhi,66.0764,33.0381,13.76,90,55,2.06,RU,2023-07-16 02:22:18
44,adamstown,-25.066,-130.1015,22.07,83,100,8.86,PN,2023-07-16 02:32:16
45,floresta,-8.6011,-38.5686,21.32,86,0,5.53,BR,2023-07-16 02:32:17
46,margaret river,-33.95,115.0667,16.04,59,7,8.04,AU,2023-07-16 02:32:18
47,charleston,32.7766,-79.9309,29.45,85,20,8.23,US,2023-07-16 02:30:44
48,kidal,18.4411,1.4078,28.58,53,96,0.7,ML,2023-07-16 02:32:18
49,hawaiian paradise park,19.5933,-154.9731,26.73,72,40,3.6,US,2023-07-16 02:32:18
50,edinburgh of the seven seas,-37.0676,-12.3116,12.7,69,28,13.74,SH,2023-07-16 02:32:19
51,jamestown,42.097,-79.2353,20.8,100,100,3.6,US,2023-07-16 02:32:19
52,grootfontein,-19.5667,18.1167,5.76,65,0,1.03,NA,2023-07-16 02:32:19
53,moyale,3.5167,39.0584,16.54,88,80,3.07,KE,2023-07-16 02:32:20
54,constantia,44.1833,28.65,18.38,67,0,1.55,RO,2023-07-16 02:32:20
55,puerto armuelles,8.2833,-82.8667,27.27,84,100,1.34,PA,2023-07-16 02:32:20
56,yerofey pavlovich,53.9667,121.9667,27.73,38,62,0.82,RU,2023-07-16 02:22:28
57,severnoye,56.3491,78.3619,14.7,94,100,1.95,RU,2023-07-16 02:32:21
58,kovdor,67.5662,30.4758,14.72,78,4,2.55,RU,2023-07-16 02:32:22
59,normal,40.5142,-88.9906,23.16,66,0,4.63,US,2023-07-16 02:31:32
60,yakeshi,49.2833,120.7333,23.31,53,28,1.76,CN,2023-07-16 02:23:04
61,pacific grove,36.6177,-121.9166,25.69,85,20,3.13,US,2023-07-16 02:22:29
62,fort mcmurray,56.7268,-111.381,20.77,56,0,1.54,CA,2023-07-16 02:22:43
63,crane,31.3974,-102.3501,33.84,25,5,7.1,US,2023-07-16 02:32:24
64,hasaki,35.7333,140.8333,36.27,73,71,6.17,JP,2023-07-16 02:27:59
65,lompoc,34.6391,-120.4579,29.08,84,100,3.09,US,2023-07-16 02:22:37
66,kapa'a,22.0752,-159.319,29.18,76,100,8.23,US,2023-07-16 02:22:28
67,longyearbyen,78.2186,15.6401,10.91,71,0,3.6,SJ,2023-07-16 02:32:25
68,menongue,-14.6585,17.691,10.34,51,2,2.37,AO,2023-07-16 02:29:17
69,bismarck,46.8083,-100.7837,20.91,58,0,3.6,US,2023-07-16 02:32:25
70,aioun,16.6614,-9.6149,32.51,45,85,4.8,MR,2023-07-16 02:32:26
71,petropavlovsk-kamchatsky,53.0452,158.6483,18.33,72,75,5.0,RU,2023-07-16 02:20:06
72,port lincoln,-34.7333,135.8667,13.97,53,0,1.71,AU,2023-07-16 02:32:26
73,port alfred,-33.5906,26.891,14.78,86,17,4.87,ZA,2023-07-16 02:32:26
74,bamboo flat,11.7,92.7167,29.05,84,40,4.12,IN,2023-07-16 02:32:27
75,trail,49.0998,-117.7022,26.33,40,39,1.17,CA,2023-07-16 02:31:09
76,saudarkrokur,65.7461,-19.6394,6.2,97,99,5.66,IS,2023-07-16 02:32:27
77,namibe,-15.1961,12.1522,17.93,59,0,2.77,AO,2023-07-16 02:32:28
78,arraial do cabo,-22.9661,-42.0278,20.46,74,0,6.91,BR,2023-07-16 02:32:28
79,port blair,11.6667,92.75,29.02,84,40,4.12,IN,2023-07-16 02:32:28
80,sisimiut,66.9395,-53.6735,4.61,95,100,2.81,GL,2023-07-16 02:22:43
81,atafu village,-8.5421,-172.5159,28.35,74,99,4.36,TK,2023-07-16 02:32:29
82,prado,-17.3411,-39.2208,22.05,80,100,2.8,BR,2023-07-16 02:32:30
83,guerrero negro,27.9769,-114.0611,20.12,81,8,8.52,MX,2023-07-16 02:21:06
84,andergrove,-21.0833,149.1833,25.91,66,94,7.47,AU,2023-07-16 02:32:31
85,cherdyn',60.403,56.4787,16.31,59,25,2.01,RU,2023-07-16 02:32:31
86,moyynkum,44.2914,72.9469,29.74,19,0,5.68,KZ,2023-07-16 02:32:31
87,college,64.8569,-147.8028,17.55,87,100,2.06,US,2023-07-16 02:30:21
88,puerto ayora,-0.7393,-90.3518,25.31,92,18,2.24,EC,2023-07-16 02:32:32
89,taco pozo,-25.6167,-63.2833,11.89,57,0,1.48,AR,2023-07-16 02:32:32
90,sarina,-21.4333,149.2167,25.7,63,64,5.86,AU,2023-07-16 02:32:33
91,hermanus,-34.4187,19.2345,16.0,82,100,6.29,ZA,2023-07-16 02:28:04
92,santo antonio do ica,-3.1022,-67.9397,22.86,99,100,0.26,BR,2023-07-16 02:32:33
93,bougouni,11.417,-7.479,23.95,81,53,1.35,ML,2023-07-16 02:32:33
94,bilibino,68.0546,166.4372,28.81,30,12,3.68,RU,2023-07-16 02:32:34
95,saurimo,-9.6608,20.3916,15.55,39,0,3.14,AO,2023-07-16 02:32:34
96,tralee,52.2704,-9.7026,11.82,86,79,5.15,IE,2023-07-16 02:32:34
97,tazacorte,28.629,-17.9293,22.54,96,100,8.75,ES,2023-07-16 02:32:35
